CodProducto;Nombre;Presentacion;Laboratorio;Ubicacion;Exento;Excluido;NoGravado;Gravado;Costo;ContenidoIntCaja;ContenidoIntBlister;ContenidoIntUnidad;Iva;InventarioCaja;InventarioBlister;InventarioUnidad;CostoCaja;CostoBlister;CostoUnidad;ValorIvaCaja;ValorIvaBlister;ValorIvaUnidad;CostoTotal;CostoTotalIva;VentaTotal;Sucursal;CodigoBarras;PrecioUnidad;PrecioCaja;PrecioBlister;IdProducto
000012507238;PRADAXA 150 MG 30 CAPSULAS;AMPOLLA;N/A ;ETICOS;180000.00;0.00;0.00;0.00;90000.00;1;0;0;0;2;0;0;180000.00;0.00;0.00;0.00;0.00;0.00;180000.00;180000.00;220000.00;30571;NULL;0.00;110000.00;0.00;12020
000042;POLVO COMPACTO SMAR SURTIDOS ;AMPOLLA;N/A ;V2 MAQUILLAJE;0.00;0.00;0.00;117946.30;6207.70;1;0;0;19;19;0;0;117946.30;0.00;0.00;22409.80;0.00;0.00;117946.30;140356.10;169100.00;30571;NULL;0.00;8900.00;0.00;8858
000104422;BASE HIDRATANTE ANA MARIA SURTIDAS ;AMPOLLA;N/A ;V2 MAQUILLAJE;0.00;0.00;0.00;37050.00;18525.00;1;0;0;19;2;0;0;37050.00;0.00;0.00;7039.50;0.00;0.00;37050.00;44089.50;49800.00;30571;NULL;0.00;24900.00;0.00;10028
000130;POLVO SMAR CON FILTRO SURTIDO ;AMPOLLA;N/A ;V2 MAQUILLAJE;0.00;0.00;0.00;39800.04;9950.01;1;0;0;19;4;0;0;39800.04;0.00;0.00;7562.01;0.00;0.00;39800.04;47362.05;55200.00;30571;NULL;0.00;13800.00;0.00;9074
002008;MAQUILLAJE LIQUIDO NAILEN SURTUDO;AMPOLLA;N/A ;V2 MAQUILLAJE;0.00;0.00;0.00;60995.61;4691.97;1;0;0;19;13;0;0;60995.61;0.00;0.00;11589.17;0.00;0.00;60995.61;72584.78;89700.00;30571;NULL;0.00;6900.00;0.00;9075
002041;POLVO COMPACTO NAILEN SURTIDOS ;AMPOLLA;N/A ;V2 MAQUILLAJE;0.00;0.00;0.00;107933.75;4317.35;1;0;0;19;25;0;0;107933.75;0.00;0.00;20507.41;0.00;0.00;107933.75;128441.16;150000.00;30571;NULL;0.00;6000.00;0.00;8859
002055;POLVO COMP NAILEN CON FILTRO SURTIDO ;AMPOLLA;N/A ;V2 MAQUILLAJE;0.00;0.00;0.00;157989.42;5851.46;1;0;0;19;27;0;0;157989.42;0.00;0.00;30017.99;0.00;0.00;157989.42;188007.41;216000.00;30571;NULL;0.00;8000.00;0.00;8860
002055;POLVO COMP NAILEN CON FILTRO SURTIDO ;AMPOLLA;N/A ;V2 MAQUILLAJE;0.00;0.00;0.00;5926.00;5926.00;1;0;0;19;1;0;0;5926.00;0.00;0.00;1125.94;0.00;0.00;5926.00;7051.94;8000.00;30571;NULL;0.00;8000.00;0.00;8860
002074;RUBOR NAILEN SURTIDOS ;AMPOLLA;N/A ;V2 MAQUILLAJE;0.00;0.00;0.00;5040.00;2520.00;1;0;0;19;2;0;0;5040.00;0.00;0.00;957.60;0.00;0.00;5040.00;5997.60;9000.00;30571;NULL;0.00;4500.00;0.00;8861
002074;RUBOR NAILEN SURTIDOS ;AMPOLLA;N/A ;V2 MAQUILLAJE;0.00;0.00;0.00;23210.37;2578.93;1;0;0;19;9;0;0;23210.37;0.00;0.00;4409.97;0.00;0.00;23210.37;27620.34;40500.00;30571;NULL;0.00;4500.00;0.00;8861
